"Variables","Values"
"Size","300"
"Interval","7.8125"
"SDNN (msec.)","39.7448888395452"
"SDANN (msec.)","31.1059189410493"
"SDNNIDX (msec.)","24.9565852587621"
"pNN50 (%)","9.30596625500087"
"SDSD (msec.)","30.8641994316553"
"r-MSSD (msec.)","30.863305193224"
"IRRR (msec.)","56.0000000002674"
"MADRR (msec.)","16.0000000005311"
"TINN (msec.)","172.094508301405"
"HRV index","11.0140485312899"
"ULF","422.206543573049"
"VLF","13.893921846869"
"LF","24.2221486617269"
"HF","43.8922237414084"
"Correlation Statistic","5.07972305798043"
"Max. Lyapunov Statistic","0.0123066947260228"
